#seq_name	length	coverage
contig_1	1478870	566
contig_4	4661	108
contig_5	20694	577
contig_9	56984	315
contig_15	3917884	598
contig_25	2921386	594
contig_29	13087	343
contig_30	69903	356
contig_31	104246	300
contig_32	54358	390
contig_36	2390	120
contig_35	2600	216
contig_41	2868804	601
contig_50	104657	583
contig_51	2184114	601
contig_59	116733	536
contig_62	3698	160
contig_69	35441	477
contig_71	67193	180
contig_73	11972	44
contig_75	324597	602
contig_76	22207	292
contig_83	64709	158
contig_92	374931	542
contig_93	61993	536
contig_94	9978	588
contig_95	87040	275
contig_96	11093	324
contig_98	358173	598
contig_99	821051	578
contig_100	279465	516
contig_101	17002	195
contig_102	87620	544
contig_8	10440	20
contig_3	1061	12
contig_2	995	13
contig_10	9985	190
contig_11	16788	16
contig_13	10410	92
contig_12	8803	4
contig_14	19510	8
contig_16	971	12
contig_20	8786	628
contig_19	657	110
contig_18	4259	2
contig_23	15035	15
contig_24	27213	256
contig_26	7522	40
contig_28	37233	357
contig_27	3767	8
contig_33	7308	38
contig_34	6946	12
contig_38	18385	20
contig_39	13472	368
contig_42	2434	86
contig_40	441	3
contig_46	3488	3
contig_45	1686	68
contig_49	2648	26
contig_48	1223	1
contig_47	813	68
contig_53	1998	92
contig_52	2809	8
contig_54	17833	827
contig_55	16700	20
contig_56	35933	206
contig_60	9644	805
contig_61	8302	20
contig_63	8198	2
contig_64	21461	20
contig_65	3760	126
contig_66	18986	20
contig_77	17467	637
contig_79	19233	322
contig_78	574	5
contig_81	2754	62
contig_80	628	0
contig_85	16176	20
contig_82	720	6
contig_88	8305	20
contig_89	19144	866
contig_90	16088	20
contig_91	1811	12
contig_104	38282	400
