#seq_name	length	coverage
contig_1	1478870	566
contig_10	9985	190
contig_100	279465	516
contig_101	17002	195
contig_102	87620	544
contig_104	38282	400
contig_15	3917884	598
contig_20	8786	628
contig_24	27213	256
contig_25	2921386	594
contig_28	37233	357
contig_29	13087	343
contig_30	69903	356
contig_31	104246	300
contig_32	54358	390
contig_35	2600	216
contig_36	2390	120
contig_39	13472	368
contig_41	2868804	601
contig_5	20694	577
contig_50	104657	583
contig_51	2184114	601
contig_54	17833	827
contig_56	35933	206
contig_59	116733	536
contig_60	9644	805
contig_62	3698	160
contig_65	3760	126
contig_69	35441	477
contig_71	67193	180
contig_75	324597	602
contig_76	22207	292
contig_77	17467	637
contig_79	19233	322
contig_83	64709	158
contig_89	19144	866
contig_9	56984	315
contig_92	374931	542
contig_93	61993	536
contig_94	9978	588
contig_95	87040	275
contig_96	11093	324
contig_98	358173	598
contig_99	821051	578
