#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_15	3917884	598	N	N	1	*	6,-7,6,-7,6,-7,6,15,21,22,-21
contig_25	2921386	594	N	N	1	*	25,84,-72,103
contig_41	2868804	601	N	N	1	*	-103,-70,41
contig_51	2184114	601	N	N	1	*	57,-58,-57,51,-86,87,-86
contig_1	1478870	566	N	N	1	*	1,*
contig_99	821051	578	N	N	1	*	*,99
contig_92	374931	542	N	N	1	*	92
contig_98	358173	598	N	N	1	*	98
contig_75	324597	602	N	N	1	*	75
contig_100	279465	516	N	N	1	*	100,84,-72
contig_59	116733	536	N	N	1	*	59
contig_50	104657	583	Y	N	1	*	50
contig_31	104246	300	N	N	1	*	31,*
contig_102	87620	544	N	N	1	*	102
contig_95	87040	275	N	N	1	*	*,95,-97
contig_30	69903	356	N	N	1	*	30,*
contig_71	67193	180	N	N	1	*	*,37,-74,-103,-70,71
contig_83	64709	158	N	N	1	*	*,83,*
contig_93	61993	536	N	N	1	*	*,93,*
contig_9	56984	315	N	N	1	*	*,9,*
contig_32	54358	390	N	N	1	*	32
contig_104	38282	400	N	Y	2	58	*,104,*
contig_28	37233	357	N	Y	1	28	*,28,*
contig_56	35933	206	N	Y	1	44	*,56,*
contig_69	35441	477	N	N	2	*	67,68,69,-68,-67,68
contig_24	27213	256	N	Y	1	24	*,24,*
contig_76	22207	292	N	N	1	*	*,76,*
contig_5	20694	577	N	N	1	*	5
contig_79	19233	322	N	Y	1	52	*,79,*
contig_89	19144	866	N	Y	1	56	*,89,*
contig_54	17833	827	Y	Y	1	*	54
contig_77	17467	637	N	Y	1	50	*,77,*
contig_101	17002	195	N	N	195	*	*,101,*
contig_39	13472	368	N	Y	1	32	*,39,*
contig_29	13087	343	N	N	1	*	*,29,*
contig_96	11093	324	N	N	1	*	*,96,*
contig_10	9985	190	N	Y	1	16	*,10,*
contig_94	9978	588	N	N	1	*	94
contig_60	9644	805	N	Y	1	46	*,60,*
contig_20	8786	628	Y	Y	1	*	20
contig_65	3760	126	N	Y	1	48	*,65,*
contig_62	3698	160	N	N	160	*	*,62,*
contig_35	2600	216	N	N	1	*	35
contig_36	2390	120	N	N	120	*	*,36,*
